NDC_CODE,MAPPED_NDC_CODE,MODE,PRIORITY,VOLUME,CLIENT,BAG_TYPE,BAG_IDENTIFIER,PTL_ID,ptl_cutoff_time
Ahmedabad_Ambawadi_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_AMDFC3_IM (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_AMDFC3_IM (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_AMDFC7_IM (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_AMDFC7_IM (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Bapunagar_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Bapunagar_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_BhuyangDev_C (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_BhuyangDev_C (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Bodakdev_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Bodakdev_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Bopal1_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Bopal1_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Bopal_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Bopal_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Chandkheda_C (Gujarat),Ahmedabad_Kanera_GW (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0010,0030;0130;0730;1330;1830
Ahmedabad_Chandkheda_C (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Chandkheda_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Chandkheda_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Chandkheda_H (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Chandkheda_H (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_FedEx1_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_FedEx1_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_FedEx2_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_FedEx2_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
Ahmedabad_GIDCNaroda_D (Gujarat),Ahmedabad_Chandkheda_H (Gujarat),E,ANY,ANY,ANY,Express,Ahmedabad_W,0035,0430;1130;1630;2130
Ahmedabad_GIDCNaroda_D (Gujarat),Ahmedabad_Kanera_GW (Gujarat),S,ANY,ANY,ANY,Surface,Ahmedabad_W,0047,0030;0330;0830;1230;1500;2030;2330
